,Name,About
52,Wassim Masri,"   Research - Software engineering, software testing, and software analysis. The goal is to enhance the principal quality attributes of software systems, namely, reliability, safety, and security.Teaching - Design and implementation of programming languages, data structures and algorithms, software testing, software engineering, introductory and intermediate programming courses (in which I focus on the dos and don’ts of programming practices).Software Development - Fifteen years of U.S. industry experience as a software architect and developer in various domains such as medical imaging, middleware, telecom, genomics, semiconductor, and financial. (Expertise in Java, C++, Python, and Scala).Research - Software engineering, software testing, and software analysis. The goal is to enhance the principal quality attributes of software systems, namely, reliability, safety, and security.Teaching - Design and implementation of programming languages, data structures and algorithms, software testing, software engineering, introductory and intermediate programming courses (in which I focus on the dos and don’ts of programming practices).Software Development - Fifteen years of U.S. industry experience as a software architect and developer in various domains such as medical imaging, middleware, telecom, genomics, semiconductor, and financial. (Expertise in Java, C++, Python, and Scala).  "
53,Wing Lam,
54,Xinyuan Wang,
55,Xuesu Xiao,
56,Ziwei Zhu,"   Assistant Professor at the Department of Computer Science at the George Mason University. I am broadly interested in data mining, machine learning, and information retrieval, with a special emphasis on augmenting responsibility in AI-powered user-centered systems to provide fair, unbiased, accountable, and trustworthy information services for both end users and society-at-large.Assistant Professor at the Department of Computer Science at the George Mason University. I am broadly interested in data mining, machine learning, and information retrieval, with a special emphasis on augmenting responsibility in AI-powered user-centered systems to provide fair, unbiased, accountable, and trustworthy information services for both end users and society-at-large. "
57,Ziyu Yao,
58,Aditya Johri,"   I'm Professor of Information Sciences & Technology (IST) in the School of Computing, College of Engineering & Computing, George Mason University. My research expertise includes educational technology, learning sciences, engineering and computing education, technology ethics, and remote and virtual work. I have over two decades of experience in research and education and have won awards for both my teaching and research, including a U.S. National Science Foundation Early Career Award. During my academic career, I have led successful research labs and programs and created and managed a range of education and research programs. More information at: http://mason.gmu.edu/~johriI'm Professor of Information Sciences & Technology (IST) in the School of Computing, College of Engineering & Computing, George Mason University. My research expertise includes educational technology, learning sciences, engineering and computing education, technology ethics, and remote and virtual work. I have over two decades of experience in research and education and have won awards for both my teaching and research, including a U.S. National Science Foundation Early Career Award. During my academic career, I have led successful research labs and programs and created and managed a range of education and research programs. More information at: http://mason.gmu.edu/~johri FeaturedFeatured     PostPost  Postdoc and PhD positions available in my lab to work on projects at the intersection of AI, Ethics, and Education:https://lnkd.in/euwmTHKAhashtag#aiethics hashtag#aiethicseducationGMU Postdoc & PhD positions - AI Education/AI Ethicsdocs.google.com • 2 min read 53    "
59,Ebrima Ceesay,"   One of my personal philosophies is to recognize everyone's humanity and uniqueness as we work together to build a better, more secure world. As one means to that end, I have spent nearly two decades of my life working as a cybersecurity expert, influencer, and innovative problem-solver. I believe in leveraging tech as a driving force to grow personal evolution and business profitability. I have managed millions of dollars in cybersecurity portfolios, delivering the highest-level IT strategy, implementation, support, resiliency, security, and data integrity. Further, I have designed and implemented national cybersecurity initiatives with the US Department of Homeland Security, Department of Defense, Office of the Director of National Intelligence, United States Air Force, National Reconnaissance Office, and the private sector to protect the cyber infrastructure of the United States, its’ allies, and citizens. EXPERTISEBig Data │Digital Forensics │Enterprise Architecture │Learning Algorithms │Intrusion Detection│ Risk Assessment │Machine Learning │Computer Forensics │Artificial Intelligence (AI) │System ArchitectureInformation Security: With mastery of GRC technologies, IT risk methodologies, Enterprise Architecture, SOA, learning algorithms, and disaster recovery, I developed the first Enterprise & Post Quantum Cyber Security Strategies at Capital One. At Leidos, I steered the establishment of mission governance and use of information as an asset and oversaw the technical implementation of Executive Order 12333 Section 2.3, the gathering of information by agencies within the IC.IT Transformation Strategy: Through Capital One, I serve as board advocate for the National Institute of Standards and Technology (NIST), National Cybersecurity Center of Excellence (NCCoE), Anti-Phishing Working Group (APWG), MIT and UC Berkeley boards. Additionally, I was the Principal Investigator for Noblis’ multiple data science and cybersecurity R&D initiatives and oversaw Noblis’ Cyber Center of Excellence (CoE) Cyber R&D portfolio. Thought Leadership: Eager to remain at the forefront of the IT conversation, I am an author, panelist, and dynamic speaker for cybersecurity advice and solutions. I have presented at the Computing and Communication Workshop and Conference, IEEE International IOT Electronics and Mechatronics Conference, and Conference on Information Sciences and Systems.Please contact me at ebrima@katiblab.com if you are interested in exploring how I can help your enterprise advance to the forefront of cybersecurity excellence.One of my personal philosophies is to recognize everyone's humanity and uniqueness as we work together to build a better, more secure world. As one means to that end, I have spent nearly two decades of my life working as a cybersecurity expert, influencer, and innovative problem-solver. I believe in leveraging tech as a driving force to grow personal evolution and business profitability. I have managed millions of dollars in cybersecurity portfolios, delivering the highest-level IT strategy, implementation, support, resiliency, security, and data integrity. Further, I have designed and implemented national cybersecurity initiatives with the US Department of Homeland Security, Department of Defense, Office of the Director of National Intelligence, United States Air Force, National Reconnaissance Office, and the private sector to protect the cyber infrastructure of the United States, its’ allies, and citizens. EXPERTISEBig Data │Digital Forensics │Enterprise Architecture │Learning Algorithms │Intrusion Detection│ Risk Assessment │Machine Learning │Computer Forensics │Artificial Intelligence (AI) │System ArchitectureInformation Security: With mastery of GRC technologies, IT risk methodologies, Enterprise Architecture, SOA, learning algorithms, and disaster recovery, I developed the first Enterprise & Post Quantum Cyber Security Strategies at Capital One. At Leidos, I steered the establishment of mission governance and use of information as an asset and oversaw the technical implementation of Executive Order 12333 Section 2.3, the gathering of information by agencies within the IC.IT Transformation Strategy: Through Capital One, I serve as board advocate for the National Institute of Standards and Technology (NIST), National Cybersecurity Center of Excellence (NCCoE), Anti-Phishing Working Group (APWG), MIT and UC Berkeley boards. Additionally, I was the Principal Investigator for Noblis’ multiple data science and cybersecurity R&D initiatives and oversaw Noblis’ Cyber Center of Excellence (CoE) Cyber R&D portfolio. Thought Leadership: Eager to remain at the forefront of the IT conversation, I am an author, panelist, and dynamic speaker for cybersecurity advice and solutions. I have presented at the Computing and Communication Workshop and Conference, IEEE International IOT Electronics and Mechatronics Conference, and Conference on Information Sciences and Systems.Please contact me at ebrima@katiblab.com if you are interested in exploring how I can help your enterprise advance to the forefront of cybersecurity excellence. "
60,Kun Sun,"   Dr. Kun Sun is a Professor in the Department of Information Sciences and Technology. He is the Associate Director of CSIS. He is also the director of Sun Security Laboratory. He has more than 15 years of working experience in both industry and academia. Kun Sun received his Ph.D. from the Department of Computer Science at North Carolina State University. His research focuses on systems and network security. The main thrusts of his research include trusted computing systems, moving target defense, software security, SDN security, AI/ML security, and cloud security.Dr. Kun Sun is a Professor in the Department of Information Sciences and Technology. He is the Associate Director of CSIS. He is also the director of Sun Security Laboratory. He has more than 15 years of working experience in both industry and academia. Kun Sun received his Ph.D. from the Department of Computer Science at North Carolina State University. His research focuses on systems and network security. The main thrusts of his research include trusted computing systems, moving target defense, software security, SDN security, AI/ML security, and cloud security. "
61,Emanuela Marasco,"   I am an Assistant Professor in the Department of Information Science and Technology at George Mason University and a member of the Center for Secure Information Systems.  I am instructor of AIT courses ""Cyber Security Fundamentals"", ""Applied Machine Learning"" and ""Applied Biometric Technologies"". From February 2015 to July 2017 I was an Adjunct Professor and a Post-doctoral Researcher in Pattern Recognition and Biometrics at the University of North Carolina Charlotte UNC-C, Department of Computer Science, member of the Video and Image Analysis lab (VIAlab) at UNC-C.From February 2011 to January 2015 I was a post-doctoral Associate Researcher at Lane Department of Computer Science and Electrical Engineering, West Virginia University and at the Center for Identification Technology (CiTeR-NSF). From February 2011 to December 2012 I was a member of the i-probe lab supervised by Dr. Arun Ross. I received a five-year degree (Bachelor and M.Sc.) in computer engineering, in March 2006, and a PhD in Computer and Automation Engineering, in December 2010, both at the University of Naples Federico II (Italy) supervised by Prof. Carlo Sansone. My research involves fingerprint liveness detection, multi-biometrics, age / gender estimation from fingerprints, interoperability enhancement between fingerprint sensors, adaptive signal processing strategies for enhancing DNA profiles from degraded DNA samples and fingerprint de-identification for privacy enhancement. I was / am PI and co-PI of research projects funded by  NSF, DHS.Invited Talks: Computational Vision and Geometry Lab, Stanford University USA; EECS Department, University of California Berkeley USAI am an Assistant Professor in the Department of Information Science and Technology at George Mason University and a member of the Center for Secure Information Systems.  I am instructor of AIT courses ""Cyber Security Fundamentals"", ""Applied Machine Learning"" and ""Applied Biometric Technologies"". From February 2015 to July 2017 I was an Adjunct Professor and a Post-doctoral Researcher in Pattern Recognition and Biometrics at the University of North Carolina Charlotte UNC-C, Department of Computer Science, member of the Video and Image Analysis lab (VIAlab) at UNC-C.From February 2011 to January 2015 I was a post-doctoral Associate Researcher at Lane Department of Computer Science and Electrical Engineering, West Virginia University and at the Center for Identification Technology (CiTeR-NSF). From February 2011 to December 2012 I was a member of the i-probe lab supervised by Dr. Arun Ross. I received a five-year degree (Bachelor and M.Sc.) in computer engineering, in March 2006, and a PhD in Computer and Automation Engineering, in December 2010, both at the University of Naples Federico II (Italy) supervised by Prof. Carlo Sansone. My research involves fingerprint liveness detection, multi-biometrics, age / gender estimation from fingerprints, interoperability enhancement between fingerprint sensors, adaptive signal processing strategies for enhancing DNA profiles from degraded DNA samples and fingerprint de-identification for privacy enhancement. I was / am PI and co-PI of research projects funded by  NSF, DHS.Invited Talks: Computational Vision and Geometry Lab, Stanford University USA; EECS Department, University of California Berkeley USA FeaturedFeatured     LinkLink   Center for Secure Information SystemsCenter for Secure Information Systemscsis.gmu.educsis.gmu.eduInformation systems security is of increasing importance in government, military and commercial arenas. The Center for Secure Information Systems (CSIS) provides a dedicated environment to encourage the development of expertise in both the theoretical...Information systems security is of increasing importance in government, military and commercial arenas. The Center for Secure Information Systems (CSIS) provides a dedicated environment to encourage the development of expertise in both the theoretical...    "
62,Gene Shuman,"   Member of the GMU Information Sciences and Technology Department faculty, with 30+ years of public sector Information Technology experience, emphasizing application software development and project management.  Previously led the consular system development and support division at the U.S. State Department to create and support globally used consular applications for passport, visa, and citizen services.  Research and professional interests include data mining, machine learning, analytics, visualization, biomechanical applications, software engineering, and project management.  Erdos number: 4. Member of the GMU Information Sciences and Technology Department faculty, with 30+ years of public sector Information Technology experience, emphasizing application software development and project management.  Previously led the consular system development and support division at the U.S. State Department to create and support globally used consular applications for passport, visa, and citizen services.  Research and professional interests include data mining, machine learning, analytics, visualization, biomechanical applications, software engineering, and project management.  Erdos number: 4.  "
63,Hadi Rezazad,
64,Harry Foxwell,"   see http://cs.gmu.edu/~hfoxwellSpecialties: Cloud Computing, Big Data Analyticssee http://cs.gmu.edu/~hfoxwellSpecialties: Cloud Computing, Big Data Analytics "
65,Hemant Purohit,"   #EXPERTISE: Inter-disciplinary research to augment human capabilities at work via Social and Web Mining, Intent Mining, and human-AI Collaboration with Semantic Computing for humanitarian and smart city organizations. #GOALS: Understanding human behavior from large-scale open data to: a.) transform R&D from labs to organizational practice for social impact problems #Tech4SocialGoodb.) connect citizens and organizations (study for cooperation, engagement, influence, and belief)#PROFESSIONAL-EX: Researcher at Ohio Center of Excellence in Knowledge-enabled Computing (Kno.e.sis), Research intern at IBM Research, Microsoft Research and QCRI; where I extensively collaborated with cognitive science, and humanitarian domain experts and worked on Web 3.0 R&D Projects for research design and execution, management and data analytics#EXPERTISE: Inter-disciplinary research to augment human capabilities at work via Social and Web Mining, Intent Mining, and human-AI Collaboration with Semantic Computing for humanitarian and smart city organizations. #GOALS: Understanding human behavior from large-scale open data to: a.) transform R&D from labs to organizational practice for social impact problems #Tech4SocialGoodb.) connect citizens and organizations (study for cooperation, engagement, influence, and belief)#PROFESSIONAL-EX: Researcher at Ohio Center of Excellence in Knowledge-enabled Computing (Kno.e.sis), Research intern at IBM Research, Microsoft Research and QCRI; where I extensively collaborated with cognitive science, and humanitarian domain experts and worked on Web 3.0 R&D Projects for research design and execution, management and data analytics FeaturedFeatured     LinkLink  Social Media & Web Mining for Public Services of Smart Cities - SSA TalkSocial Media & Web Mining for Public Services of Smart Cities - SSA TalkSlideShareSlideShareThis talk at Data Science Seminar of SSA presents challenges and methods to model behavior on social media & Web for application opportunities for public services. The talk also demonstrates an in-depth case study of mining intentional behavior from...This talk at Data Science Seminar of SSA presents challenges and methods to model behavior on social media & Web for application opportunities for public services. The talk also demonstrates an in-depth case study of mining intentional behavior from...LinkLink  ITU TELECOM WORLD 2014 YOUNG INNOVATOR: Hemant Purohit, Social Media Coordination, India & USITU TELECOM WORLD 2014 YOUNG INNOVATOR: Hemant Purohit, Social Media Coordination, India & USYouTubeYouTubeQuick summary of project on leveraging social media for coordination that won the ITU Young Innovator competitionQuick summary of project on leveraging social media for coordination that won the ITU Young Innovator competitionLinkLink  Whom to Coordinate With and How in Online Social Communities during Crisis Response CoordinaitonWhom to Coordinate With and How in Online Social Communities during Crisis Response CoordinaitonSlideShareSlideShareISCRAM paper presentation on ""With Whom to Coordinate, Why and How in Ad-hoc Social Media Communities during Crisis Response"" by Purohit et al., Kno.e.sis, Wright State UISCRAM paper presentation on ""With Whom to Coordinate, Why and How in Ad-hoc Social Media Communities during Crisis Response"" by Purohit et al., Kno.e.sis, Wright State ULinkLink  NCSU invited talk: Leveraging Social Media for Tourism Marketplace CoordinationNCSU invited talk: Leveraging Social Media for Tourism Marketplace CoordinationSlideShareSlideShareInvited talk presented by Hemant Purohit (http://knoesis.org/researchers/hemant) at the North Carolina State University's workshop on 'IT for Sustainable Tourism Development'. The talk presented the ways in which social media communities can be leveraged to coordinate demands of tourists with the supply of services by local/micro-entrepreneurs.Invited talk presented by Hemant Purohit (http://knoesis.org/researchers/hemant) at the North Carolina State University's workshop on 'IT for Sustainable Tourism Development'. The talk presented the ways in which social media communities can be leveraged to coordinate demands of tourists with the supply of services by local/micro-entrepreneurs.LinkLink  SIAM SDM-14 tutorial - Social Media and Web of Data to Assist Crisis Response CoordinationSIAM SDM-14 tutorial - Social Media and Web of Data to Assist Crisis Response CoordinationSlideShareSlideShareTutorial on describing Data Mining problems to assist in leveraging social media for better crisis response coordination and decision making.Tutorial on describing Data Mining problems to assist in leveraging social media for better crisis response coordination and decision making.   "
66,Hoda Hassan,
67,Humaira Akhtari,
68,Ioulia Rytikova,"   Senior-level professional with 18 years of education and people management experience, providing strategic leadership in the areas of innovative teaching and learning, instructional design, and digital and virtual-based education. Lead the development of 14 corporate and academic programs, and 15 in-person and 10 online courses across 9 different fields in the largest department of George Mason University (100+ instructors, 1,900+ students). Experienced in developing inclusive programs to support the needs of students and employees from diverse backgrounds in STEM disciplines.Senior-level professional with 18 years of education and people management experience, providing strategic leadership in the areas of innovative teaching and learning, instructional design, and digital and virtual-based education. Lead the development of 14 corporate and academic programs, and 15 in-person and 10 online courses across 9 different fields in the largest department of George Mason University (100+ instructors, 1,900+ students). Experienced in developing inclusive programs to support the needs of students and employees from diverse backgrounds in STEM disciplines. "
69,Irina Hashmi,"   Specialties: Computer Science: Computer Programming, data Mining, machine learning, evolutionary computation, stochastic optimization, database systems, algorithms.Computational Biology and Bioinformatics: Human genome seqeunce and enhancers, protein docking and protein-protein interactions.VLSI: Reversible computing and circuti designingSpecialties: Computer Science: Computer Programming, data Mining, machine learning, evolutionary computation, stochastic optimization, database systems, algorithms.Computational Biology and Bioinformatics: Human genome seqeunce and enhancers, protein docking and protein-protein interactions.VLSI: Reversible computing and circuti designing "
70,Jianli Pan,"   I am currently a tenured associate professor in the Department of Information Science and Technology at the George Mason University (GMU). Previously, I was an associate professor in the Department of Computer Science at the University of Missouri, St. Louis. I obtained my Ph.D. degree from the Department of Computer Science and Engineering of Washington University in Saint Louis. My Ph.D. advisor was Prof. Raj Jain. My research interests broadly cover Internet of Things (IoT), edge/cloud computing, machine learning, cybersecurity, and blockchain. I am particularly interested in addressing the real-world grand challenges that our society faces, and in enabling future vision of smart homes, campuses, factories, communities and cities.I am currently a tenured associate professor in the Department of Information Science and Technology at the George Mason University (GMU). Previously, I was an associate professor in the Department of Computer Science at the University of Missouri, St. Louis. I obtained my Ph.D. degree from the Department of Computer Science and Engineering of Washington University in Saint Louis. My Ph.D. advisor was Prof. Raj Jain. My research interests broadly cover Internet of Things (IoT), edge/cloud computing, machine learning, cybersecurity, and blockchain. I am particularly interested in addressing the real-world grand challenges that our society faces, and in enabling future vision of smart homes, campuses, factories, communities and cities. "
71,Khondkar Islam,"   Khondkar Islam has over 20 years of experience working in Information Technology and Telecommunications sectors, National Aeronautics and Space Administration and Department of Homeland Security government agencies, as well as academia at George Mason University, University of Maryland at College Park and American University. He is also a subject matter expert at Prometric. Khondkar's research interests include distributed and peer-to-peer systems, overlay and wireless networks, network security, and distance education for instructor training and student learning. He has reviewed several technical book chapters for Prentice Hall, McGraw-Hill, John Wiley & Sons, and Addison-Wesley, and has published a number of refereed articles.Khondkar Islam has over 20 years of experience working in Information Technology and Telecommunications sectors, National Aeronautics and Space Administration and Department of Homeland Security government agencies, as well as academia at George Mason University, University of Maryland at College Park and American University. He is also a subject matter expert at Prometric. Khondkar's research interests include distributed and peer-to-peer systems, overlay and wireless networks, network security, and distance education for instructor training and student learning. He has reviewed several technical book chapters for Prentice Hall, McGraw-Hill, John Wiley & Sons, and Addison-Wesley, and has published a number of refereed articles. "
72,Lei Yang,"   Lei Yang received her Ph.D. degree and B.E. degree in 2019 and 2013 from Chongqing University, Chongqing, China. She was a research scholar at the University of California, Irvine from Oct. 2017 to Feb. 2019, and a research scholar at the University of Pittsburgh from Feb. 2019 to Aug. 2019. Before joining the University of New Mexico, She was a Post-Doctoral Research Associate in the Department of Computer Science and Engineering at the University of Notre Dame, IN, USA. Dr. Yang's research interests are in Automated Machine Learning, Embedded Systems and High-Performance Computing Architectures.Lei Yang received her Ph.D. degree and B.E. degree in 2019 and 2013 from Chongqing University, Chongqing, China. She was a research scholar at the University of California, Irvine from Oct. 2017 to Feb. 2019, and a research scholar at the University of Pittsburgh from Feb. 2019 to Aug. 2019. Before joining the University of New Mexico, She was a Post-Doctoral Research Associate in the Department of Computer Science and Engineering at the University of Notre Dame, IN, USA. Dr. Yang's research interests are in Automated Machine Learning, Embedded Systems and High-Performance Computing Architectures. "
73,Massimiliano Albanese,"   Computer Scientist working in the field of Secure Information Systems.Specialties: Security, Databases, Information Systems, Cloud ComputingComputer Scientist working in the field of Secure Information Systems.Specialties: Security, Databases, Information Systems, Cloud Computing "
74,Michael Lyons,
75,Mihai Boicu,"   I am the Associate Director of the Learning Agents Center since 2002 and Associate Professor of Information Technology in Information Sciences and Technology Department. I received my Ph.D. degree from George Mason University in 2003. I published over 100 scientific publications, including co-authoring two books, fourteen journal papers, and four book chapters.  I was co-editor for workshop proceedings and a special issue of the Artificial Intelligence Magazine. I had contributions in several areas of Artificial Intelligence: Instructable Agents, Knowledge Engineering, Multi-agent Systems and Mixed-initiative Reasoning.I received several awards for the research and educational activity performed. I received the Innovative Application Award at IAAI-2002, the Fourteenth Annual Conference on Innovative Applications of Artificial Intelligence, Edmonton, Alberta, Canada, July 30-August 1, 2002, for the paper “Development and Deployment of a Disciple Agent for Center of Gravity Analysis,” by Tecuci G., Boicu M., Marcu D., Stanescu B., Boicu C., Comello J., Lopez A., Donlon J., Cleckner W. I received a Certificate of appreciation  awarded by Colonel Jeffrey P. Hightaian, the Director of the Warfighting Center of Air University, for Outstanding Service to the Air War College Maxwell Air Force Base Alabama; several Certificates of appreciation and the Centennial Coin awarded by General Robert Ivany, the Commandant of the US Army War College; Certificate of Appreciation awarded by Prof. Douglas Campbell, Director of the Center for Strategic Leadership of the US Army War College. I also received Outstanding Graduate Student in Information Technology Award presented by Knowledge Consulting Group, George Mason University.I am the Associate Director of the Learning Agents Center since 2002 and Associate Professor of Information Technology in Information Sciences and Technology Department. I received my Ph.D. degree from George Mason University in 2003. I published over 100 scientific publications, including co-authoring two books, fourteen journal papers, and four book chapters.  I was co-editor for workshop proceedings and a special issue of the Artificial Intelligence Magazine. I had contributions in several areas of Artificial Intelligence: Instructable Agents, Knowledge Engineering, Multi-agent Systems and Mixed-initiative Reasoning.I received several awards for the research and educational activity performed. I received the Innovative Application Award at IAAI-2002, the Fourteenth Annual Conference on Innovative Applications of Artificial Intelligence, Edmonton, Alberta, Canada, July 30-August 1, 2002, for the paper “Development and Deployment of a Disciple Agent for Center of Gravity Analysis,” by Tecuci G., Boicu M., Marcu D., Stanescu B., Boicu C., Comello J., Lopez A., Donlon J., Cleckner W. I received a Certificate of appreciation  awarded by Colonel Jeffrey P. Hightaian, the Director of the Warfighting Center of Air University, for Outstanding Service to the Air War College Maxwell Air Force Base Alabama; several Certificates of appreciation and the Centennial Coin awarded by General Robert Ivany, the Commandant of the US Army War College; Certificate of Appreciation awarded by Prof. Douglas Campbell, Director of the Center for Strategic Leadership of the US Army War College. I also received Outstanding Graduate Student in Information Technology Award presented by Knowledge Consulting Group, George Mason University. "
76,Myeong Lee,"   I am interested in understanding the dynamics of local communities, hyperlocal groups, and local information inequality by digging into various kinds of data and socio-technical systems, and in contributing to civic engagement, policy-making, socio-technical systems theories, and people's information access.I am interested in understanding the dynamics of local communities, hyperlocal groups, and local information inequality by digging into various kinds of data and socio-technical systems, and in contributing to civic engagement, policy-making, socio-technical systems theories, and people's information access. "
77,Nora McDonald,
78,Olcay Ciftci,
79,Omoche Agada,"   Information Technology professional with research interest in Cybersecurity, Digital Forensics, Data Science, and Machine Learning; seeking to apply my analytical and problem-solving skills to provide technology solutions to modern business problems.Information Technology professional with research interest in Cybersecurity, Digital Forensics, Data Science, and Machine Learning; seeking to apply my analytical and problem-solving skills to provide technology solutions to modern business problems. "
80,Ozlem Uzuner,
81,Riki Morikawa,"   Thirty-four years of experience in the management of technical organizations in support of the Intelligence Community and Department of Defense.Expertise in engineering development for U.S. Government systems that depend upon telecommunications and value-added system engineering.  Engineering expertise in  telecommunication sciences, information technologies, network engineering, system engineering, satellite communications and program management. I am currently a full-time professor teaching courses in IT, Telecommunications, and Satellite Communications at the George Mason University, Volgenau School of Engineering, Department of Information Sciences and Technology.Thirty-four years of experience in the management of technical organizations in support of the Intelligence Community and Department of Defense.Expertise in engineering development for U.S. Government systems that depend upon telecommunications and value-added system engineering.  Engineering expertise in  telecommunication sciences, information technologies, network engineering, system engineering, satellite communications and program management.  I am currently a full-time professor teaching courses in IT, Telecommunications, and Satellite Communications at the George Mason University, Volgenau School of Engineering, Department of Information Sciences and Technology. "
82,Sadegh Torabi,"   Assistant Professor and Cyber Security Researcher. A PhD graduate with passion for teaching/learning, research, and development experience. A self-motivated researcher with experience in in Big Data analytics, Internet Measurements, Machine/Deep Learning, and Cybersecurity. A natural leader with strong communication and problem-solving skills who also enjoys collaborative work to solve challenging problems.Assistant Professor and Cyber Security Researcher. A PhD graduate with passion for teaching/learning, research, and development experience. A self-motivated researcher with experience in in Big Data analytics, Internet Measurements, Machine/Deep Learning, and Cybersecurity. A natural leader with strong communication and problem-solving skills who also enjoys collaborative work to solve challenging problems. "
83,Scott Lewis,
84,Sharmin Sultana,
85,Ye Wang,"   SUMMARY• Strong analytical and problem solving skills with knowledge in finance and economic policies and practical experiences in economic analysis;• Highly self-motivated and fast learner: outstanding academic performance, adaptive in both US and China environment;• Strong communication and collaboration skills; fluent in both English and Chinese.SUMMARY• Strong analytical and problem solving skills with knowledge in finance and economic policies and practical experiences in economic analysis;• Highly self-motivated and fast learner: outstanding academic performance, adaptive in both US and China environment;• Strong communication and collaboration skills; fluent in both English and Chinese. "
86,Zhisheng Yan,"   My research interests broadly lie in the broad areas of mobile and networked systems. My current focus includes the security and network issues of immersive computing systems, such as AR, VR, imaging, and video systems. More details can be found on my personal site: https://mason.gmu.edu/~zyan4/.My research interests broadly lie in the broad areas of mobile and networked systems. My current focus includes the security and network issues of immersive computing systems, such as AR, VR, imaging, and video systems. More details can be found on my personal site: https://mason.gmu.edu/~zyan4/. "
87,Aiyoub Abbaspour,
88,Burak Tanyu,
89,David Lattanzi,"   I am an associate professor of civil engineering and the John Toups Faculty Fellow at George Mason University. My research interests are centered around the application of machine learning, computer vision, and robotic methods for structural health monitoring.I am a licensed professional engineer (P.E.) with a specialization in bridge engineering and experience designing a wide variety of complex structures requiring advanced analysis techniques. I received my concurrent Ph.D in structural engineering and Masters degree in mechanical engineering from the University of Washington.You can learn more about the current research efforts of my team through our website (lrg.gmu.edu)I am an associate professor of civil engineering and the John Toups Faculty Fellow at George Mason University. My research interests are centered around the application of machine learning, computer vision, and robotic methods for structural health monitoring.I am a licensed professional engineer (P.E.) with a specialization in bridge engineering and experience designing a wide variety of complex structures requiring advanced analysis techniques. I received my concurrent Ph.D in structural engineering and Masters degree in mechanical engineering from the University of Washington.You can learn more about the current research efforts of my team through our website (lrg.gmu.edu) "
90,Mohan Venigalla,"   Mohan Venigalla specializes in transportation systems analysis and planning with an emphasis on sustainable transportation. His early career (for 12 years) was primarily in engineering consulting and research. He has been engaged in his present teaching and academic research career since 2000.Venigalla’s expertise includes modeling of transportation systems encompassing travel behavior analysis, travel demand modeling, traffic simulation, network analysis, and intelligent transportation systems. His current and prior works covered a range of topics on transportation planning, air quality, transit-oriented developments, shared mobility, and urban freight planning. His skillset includes traditional quantitative and statistical methods, geographic information systems, data mining, and big data analytics. He has developed and applied numerous computer models for solving various transportation planning and traffic engineering problems.Venigalla’s research funding since 2000 topped $2.8 million. His publications include more than 50 peer-reviewed articles, two book chapters, and 38 significant technical reports. He developed or taught 16 different courses and graduated seven Ph.D. students under his supervision. He administered the undergraduate civil engineering program at George Mason University and was primarily responsible for increasing the enrollments four-fold (from 74 to 295) in an 8-year period.Venigalla’s research on air quality received national acclaim and was recognized by the National Academy of Sciences with the prestigious Pyke Johnson Award. He was elected a Fellow of the American Society of Civil Engineers and is a registered professional engineer in the Commonwealth of Virginia.Mohan Venigalla specializes in transportation systems analysis and planning with an emphasis on sustainable transportation. His early career (for 12 years) was primarily in engineering consulting and research. He has been engaged in his present teaching and academic research career since 2000.Venigalla’s expertise includes modeling of transportation systems encompassing travel behavior analysis, travel demand modeling, traffic simulation, network analysis, and intelligent transportation systems. His current and prior works covered a range of topics on transportation planning, air quality, transit-oriented developments, shared mobility, and urban freight planning. His skillset includes traditional quantitative and statistical methods, geographic information systems, data mining, and big data analytics. He has developed and applied numerous computer models for solving various transportation planning and traffic engineering problems.Venigalla’s research funding since 2000 topped $2.8 million. His publications include more than 50 peer-reviewed articles, two book chapters, and 38 significant technical reports. He developed or taught 16 different courses and graduated seven Ph.D. students under his supervision. He administered the undergraduate civil engineering program at George Mason University and was primarily responsible for increasing the enrollments four-fold (from 74 to 295) in an 8-year period.Venigalla’s research on air quality received national acclaim and was recognized by the National Academy of Sciences with the prestigious Pyke Johnson Award. He was elected a Fellow of the American Society of Civil Engineers and is a registered professional engineer in the Commonwealth of Virginia. "
91,Wenying Ji,
92,Elise Miller,
93,Girum Urgessa,
94,Kirin Furst,"   Environmental engineering professor conducting research on drinking water and wastewater systems, with focus on physicochemical treatment technologies and contaminant fate and transport. Areas of interest include wastewater reuse, contaminants of emerging concern, and combining systems thinking with experimental research to develop engineering and policy solutions. Advocate for evidence-based practices that promote diversity, equity, and inclusion in STEM.Environmental engineering professor conducting research on drinking water and wastewater systems, with focus on physicochemical treatment technologies and contaminant fate and transport. Areas of interest include wastewater reuse, contaminants of emerging concern, and combining systems thinking with experimental research to develop engineering and policy solutions. Advocate for evidence-based practices that promote diversity, equity, and inclusion in STEM. "
95,Kuo Tian,
96,Laura Kosoglu,   Specialties: Geotechnical EngineeringSpecialties: Geotechnical Engineering 
97,Lucas Henneman,"   Environmental engineer researcher and instructor interested in problems at the intersections of regulatory policy, environmental quality, and health.Environmental engineer researcher and instructor interested in problems at the intersections of regulatory policy, environmental quality, and health. "
98,Ossama Salem,"   Specialties: Civil Engineering, Infrastructure Asset Management, Construction Engineering and Management, Project Management, Sustainability, Safety and Health Engineering.Specialties: Civil Engineering, Infrastructure Asset Management, Construction Engineering and Management, Project Management, Sustainability, Safety and Health Engineering. "
99,Shanjiang Zhu,
