,Name,Title,Descriptions,Date
4,Shvetha Soundararajan,Assessing an organization’s capability to effectively implement its selected agile method,,1-Oct-11
5,Shvetha Soundararajan,"A Structured Framework for Assessing the ""Goodness"" of Agile Methods",,1-Apr-11
6,Shvetha Soundararajan,A Soft-Structured Agile Framework for Larger Scale Systems Development,,1-Apr-09
0,Wassim Itani,Dr. Wassim itani Google Scholar Citations Page,,
0,Kun Sun,Secure Distributed Cluster Formation in Wireless Sensor Networks,,1-Jan-06
0,Emanuela Marasco,Robust and Interoperable Fingerprint Spoof Detection via Convolutional Neural Networks,"Fingerprint recognition for automated border control and other high-security applications needs robust integrated anti-spoofing capability. Facing the threat of presentation attacks, two key challenges to be solved are sensor interoperability and robustness versus new fabrication materials. This paper proposes convolutional neural networks for this task and presents an
exhaustive comparison on latest LivDet 2011 and 2013 databases.",1-Jan-16
1,Emanuela Marasco,Privacy Protection Schemes for Fingerprint Recognition Systems,,15-May-15
2,Emanuela Marasco,A Survey on Anti-Spoofing Schemes for Fingerprints,,1-Jan-14
3,Emanuela Marasco,Automatic Enhancement of Interoperability between Fingerprint Optical Sensors,,1-Jan-14
4,Emanuela Marasco,Exploiting Quality and Texture-based Characteristics to Estimate Age and Gender through Fingerprint Images,,1-Jan-14
5,Emanuela Marasco,Fingerprint Liveness Detection based on Histograms of Invariant Gradients,,1-Jan-14
6,Emanuela Marasco,Removing Gender Signature from Fingerprints,,1-Jan-14
7,Emanuela Marasco,Impact of Biometric Data Quality on Rank-Level Fusion Schemes,,1-Jan-13
8,Emanuela Marasco,Minimizing the Impact of Low Interoperability between Optical Fingerprint Sensors,,1-Jan-13
9,Emanuela Marasco,On the Stability of Ranks to Low Image Quality in Biometric Identification Systems,,1-Jan-13
10,Emanuela Marasco,Combining Match Scores with Liveness Values in a Fingerprint Verification System,,1-Jan-12
11,Emanuela Marasco,Combining perspiration- and morphology-based static features for fingerprint liveness detection,,1-Jan-12
12,Emanuela Marasco,Detecting STR peaks in degraded DNA samples,,1-Jan-12
13,Emanuela Marasco,Increase the security of multibiometric systems by incorporating a spoofing detection algorithm in the fusion mechanism,,1-Jan-11
14,Emanuela Marasco,On the robustness of fingerprint liveness detection algorithms against new materials used for spoofing,,1-Jan-11
15,Emanuela Marasco,Predicting Identification Errors in a Multibiometric System based on Ranks and Scores,,1-Jan-10
16,Emanuela Marasco,Improving Fingerprint Interoperability by Integrating Wavelet Entropy and Binarized Statistical Image Features,"Assuming that a large recognition system based on fingerprints will allow one sensor type at its creation and throughout its lifetime is not realistic. The vendor diversity on the market accentuates the need to make these systems interoperable, i.e., able to compare fingerprints collected using different devices with comparable high accuracy.
In this paper, we propose a learning-based scheme for enhancing interoperability between optical fingerprint sensors. Different features (i.e. image quality, texture) and signal domains (space and frequency) are utilized to compensate for the variations in cross-sensor recognition performance of a commercial matcher.
Specifically, we consider Binarized Statistical Image Features (BSIF) and characteristics derived from the Discrete Wavelet Transform (DWT).
DWT is able to preserve spatial information of an image when performing frequency analysis while BSIF has shown to be an effective local descriptor for images with unusual characteristics. Experiments are carried out on a data set consisting of fingerprints obtained from 494 users acquired using four different optical devices. Results show a significant reduction in error rates compared to the baseline as well as improved performance compared to previous research.",The 15th International Conference of the Biometrics Special Interest Group BIOSIG 2016
0,Harry Foxwell,Creating Good Data: A Guide to Dataset Structure and Data Representation,"Create good data from the start, rather than fixing it after it is collected. By following the guidelines in this book, you will be able to conduct more effective analyses and produce timely presentations of research data.",30-Oct-20
0,Hemant Purohit,Gender-Based Violence in 140 Characters or Fewer: A #BigData Case Study of Twitter,"Humanitarian and public institutions are increasingly relying on data from social media sites to measure public attitude, and provide timely public engagement. Such engagement supports the exploration of public views on important social issues such as gender-based violence (GBV). In this study, we examine Big (Social) Data consisting of nearly fourteen million tweets collected from the Twitter platform over a period of ten months to analyze public opinion regarding GBV, highlighting the nature of tweeting practices by geographical location and gender. The exploitation of Big Data requires the techniques of Computational Social Science to mine insight from the corpus while accounting for the influence of both transient events and sociocultural factors. We reveal public awareness regarding GBV tolerance and suggest opportunities for intervention and the measurement of intervention effectiveness assisting both governmental and non-governmental organizations in policy development. [Highlight of FM Jan'16 issue]",1-Jan-16
1,Hemant Purohit,Intent Classification of Short-text Social Media,"Social media platforms facilitate the emergence of citizen communities that discuss real-world events, and generate/share content with a variety of intent ranging from social good (e.g., volunteering to help) to commercial interest (e.g., criticizing product features). Hence, mining intent from social data can aid in filtering social media to support organizations, such as an emergency management unit for resource planning. However, effective intent mining is inherently challenging due to ambiguity in interpretation, and sparsity of relevant behaviors in social data. In this research, we address the problem of multiclass classification of intent with a use-case of social data generated during crisis events. Our novel interdisciplinary method exploits a hybrid feature representation created by combining top-down processing using knowledge-guided patterns with bottom-up processing using a bag-of-tokens model. ",19-Dec-15
2,Hemant Purohit,Assisting Coordination during Crisis: A Domain Ontology based Approach to Infer Resource Needs from Tweets,"Ubiquitous social media during crises provides citizen reports on the situation, needs and supplies. Previous research extracts resource needs directly from the text (e.g. “Power cut to Coney Island and Brighton beach” indicates a power need). This approach assumes that citizens derive and write about specific needs from their observations, properly specified for the emergency response system, an assumption that is not consistent with general conversational behavior. In our study, Twitter messages (tweets) from Hurricane Sandy in 2012 clearly indicate power blackouts, but not their probable implications (e.g. loss of power to hospital life support systems). We use a domain model to capture such interdependencies between resources and needs. We represent these dependencies in an ontology that specifies the functional association between resources. Accurate interpretation of resource need/supply also depends on the location of a message. We show how inference based on a domain model combined with location detection and interpretation in the social data can enhance situational awareness, e.g., predicting a medical emergency before it is reported as critical.",1-Jun-14
3,Hemant Purohit,Emergency–relief coordination on social media: Automatically matching resource requests and offers,"Machine–learning methods to automatically identify and match needs and offers during disaster response, communicated via social media for items and services such as shelter, money, clothing, volunteering, etc. [HIGHLIGHT: chosen as the lead paper of January issue of the journal]",6-Jan-14
4,Hemant Purohit,Identifying Seekers and Suppliers in Social Media Communities to Support Crisis Coordination,"Model for filtering information by using psycholinguistics theories to identify tacit cooperation in the declarations of resource needs and availability during disaster response on social media. Also, a domain ontology to create an annotated information repository for supporting the varying abstract presentation of organized, actionable information nuggets regarding resource needs and availability in visual interfaces, as well as complex querying ability for who-what-where in coordination.",1-Jan-14
5,Hemant Purohit,Leveraging Social Media and Web of Data for assisting Crisis Response Coordination,"Data mining can provide valuable insights to support emergency responders and other stakeholders during crisis. However, there are a number of challenges and existing computing technology may not work in all cases. Therefore, our objective in this tutorial is to present the characterization of such data mining tasks, and challenges that need further research attention.",1-Jan-14
6,Hemant Purohit,On Understanding Divergence of Online Social Group Discussion,"Unlike prior studies with focus on link structures to characterize social group dynamics, we model content-based group dynamics by understanding collective discussion divergence; with guidance from two socio-psychological theories, social cohesion and social identity. [HIGHLIGHT: Acceptance-rate: 23%]",1-Jan-14
7,Hemant Purohit,Twitris- a System for Collective Social Intelligence,"Twitris, a Semantic Web application that facilitates understanding of social perceptions by Semantics-based processing of massive amounts of event-centric data. Twitris addresses challenges in large scale processing of social data, preserving spatio-temporal-thematic properties and focusing on multi-dimensional analysis of sptatio-temporal-thematic, people-content-network and sentiment-emotion-subjectivity facets. Twitris also covers context based semantic integration of multiple Web resources and expose semantically enriched social data to the public domain. Semantic Web technologies enable the system's integration and analysis abilities. It has applications for studying and analyzing social sensing and perception of a broad variety of events: politics and elections, social movements and uprisings, crisis and disasters, entertainment, environment, decision making and coordination, brand management, campaign effectiveness, etc.",1-Jan-14
8,Hemant Purohit,"With Whom to Coordinate, Why and How in Ad-hoc Social Media Communities during Crisis Response","During crises affected people, well-wishers, and observers join social media communities to discuss the event while sharing useful information relevant to response coordination, for example, specific resource needs. But it is difficult to identify and engage with such users, our framework enables such coordination assistive engagement.",1-Jan-14
9,Hemant Purohit,How to Leverage Social Media Communities for Crisis Response Coordination,"Ignite talk at ICCM-2013 at United Nations (UN) Nairobi. Key-message: We need to extract smart actionable data out of big crisis data to assist response coordination, by focusing on mining and matching demand (need of help) and supply (offer of help) centric technology (Video- http://goo.gl/nNOO28 , Slides- http://goo.gl/Q732ay ) 

More at Kno.e.sis' SOCS project page: http://knoesis.org/research/semsoc/projects/socs 
Also, Crisis Informatics at Kno.e.sis: http://j.mp/CrisisRes",1-Nov-13
10,Hemant Purohit,What Kind of #Communication is Twitter? Mining #Psycholinguistic Cues for Emergency Coordination,"Information filtering model to reduce Twitter traffic for disaster coordination, by modeling coordination via pyscholinguistic theories of conversations. Also, a proof for existence of similar human behavior of face-to-face communication in online communication [HIGHLIGHT: chosen in CDC's Health Communication Science digest of October]",1-Nov-13
11,Hemant Purohit,"Crisis Mapping, Citizen Sensing and Social Media Analytics: Leveraging Citizen Roles for Crisis Response","This tutorial weaves three themes and corresponding relevant topics- a.) citizen sensing and crisis mapping, b.) technical challenges and recent research for leveraging citizen sensing to improve crisis response coordination, and c.) experiences in building robust and scalable platforms/systems. It couples technical insights with real world examples.",11-Jul-13
12,Hemant Purohit,"Twitris v3: From Citizen Sensing to Analysis, Coordination and Action","System to leverage social media analytics beyond computing the obvious, by focusing on targeted  computing that can assist higer level phenomena such as coordination and decision making",8-Jul-13
13,Hemant Purohit,User Taglines: Alternative Presentations of Expertise and Interest in Social Media,"Techniques to curate short descriptions for presenting a user's information or expertise on social media. Also, a study of how can we exploit semantic knowledge on web to present user descriptions [HIGHLIGHT: Acceptance rate: 11.5%] ",14-Nov-12
14,Hemant Purohit,Prediction of Topic Volume on Twitter,,23-Jun-12
15,Hemant Purohit,Finding Influential Authors in Brand-Page Communities,"Techniques to find users for whom to engage with in evolving closed (topic centric) communities. Applications in brand management, crisis response as well as for channelizing actionable network effects (please talk to me further if interested)",4-Jun-12
16,Hemant Purohit,Framework for the Analysis of Coordination in Crisis Response,Position paper to present a framework to analyze crisis response coordination by leveraging social media messages shared after a disaster event,11-Feb-12
17,Hemant Purohit,Understanding User-Community Engagement by Multi-faceted Features: A Case Study on Twitter,"A People-Content-Network analysis framework for user engagement in the online communities, by incorporating 3 fundamental aspects of social media: the participants (People), the posts generated them (Content), and the user connections (Network)",30-Mar-11
18,Hemant Purohit,A Qualitative Examination of Topical Tweet and Retweet Practices,Study on the effect of content on network structures. Content has a role to play in shaping denser vs. sparse diffusion networks of interactions on social media.,22-May-10
19,Hemant Purohit,Performance Analysis of RFID Tag Antennas,,1-Sep-08
0,Hoda Hassan,A Profit Oriented Session-based Admission Control Mechanism for the Cloud Environment,"The proliferation of cloud-computing services has encouraged business-owners to migrate their applications to the cloud. With the existence of the Service Level Agreement (SLA) in the cloud, the business-owners can guarantee the quality of service they were promised to get from the providers. However, in such shared environment, there is a high probability of overload situations to occur violating the SLA, and causing profit losses to both providers and clients. This paper proposes an SLA-aware Profit- Oriented session-based Admission Control (POAC) mechanism that manages the overload problem in three-tier Web-based applications hosted on a cloud environment. The proposed Admission Control (AC) was validated using simulation. Our experiments show that the proposed approach makes profit-aware decisions, while taking the SLA in consideration. Thus benefiting both the service providers and the business-owners.",15-Oct-14
1,Hoda Hassan,Transformation of Coloured Petri Nets to UML 2 Diagrams,"Business Process Modeling Notation is used by business modelers to model business processes logic and artifacts. However, it is inadequate in expressing the execution semantics of business processes and takes a process-oriented approach for modeling systems. UML, on the other hand, is known for its expressiveness to present the object-oriented approach for modeling software-based system. There is a rising need to transform business process models to flawless UML models. This paper proposes a modeling transformation technique for transforming a business process-modeling notation model to different UML diagrams, using Coloured Petri Nets (CPN) as a formal intermediate step to ensure flawless transformation. This transformation would allow modeler to take advantages of the presentation power in BPMN as well as the implementation power in UML. Furthermore, this step will bridge the gap between the different modeling notations previously mentioned.",15-Apr-14
2,Hoda Hassan,Transformation of Coloured Petri Nets to UML 2 Diagrams,"Business Process Modeling Notation is used by business modelers to model business processes logic and artifacts. However, it is inadequate in expressing the execution semantics of business processes and takes a process-oriented approach for modeling systems. UML, on the other hand, is known for its expressiveness to present the object-oriented approach for modeling software-based system. There is a rising need to transform business process models to flawless UML models. This paper proposes a modeling transformation technique for transforming a business process-modeling notation model to different UML diagrams, using Coloured Petri Nets (CPN) as a formal intermediate step to ensure flawless transformation. This transformation would allow modeler to take advantages of the presentation power in BPMN as well as the implementation power in UML. Furthermore, this step will bridge the gap between the different modeling notations previously mentioned.",15-Apr-14
3,Hoda Hassan,IASM:  An Integrated Attribute Similarity for Complex Networks Generation,"Complex networks are seen in different real life disciplines. They are characterized by a scale-free power-law degree distribution, a small average path length (small world phenomenon), a high average clustering coefficient, and the emergence of community structure. Most proposed complex networks models did not incorporate all of the four common properties of complex networks. Models have also neglected incorporating the heterogeneous nature of network nodes. In this paper, we propose two generation models for heterogeneous complex networks. We introduce the Integrated Attribute Similarity Model (IASM). IASM uses preferential attachment to connect nodes based on their attributes similarities integrated with node's structural popularity (normalized degree or Eigen vector centrality). IASM proposed model is modified to increase their clustering coefficient using a triad formation step.",1-Feb-14
4,Hoda Hassan,CellNet: A Bottom-Up Approach to Network Design,"The ever-increasing dependence on the Internet is challenged by several factors impeding the smooth transition to the nomadic and ubiquitous future communications. These hindering factors are primarily attributed to the top-down approach in designing computer networks that resulted in adopting a layered architecture for abstracting network functionalities as well as for engineering protocols; a methodology that proved to be neither adaptable nor evolvable in response to changes in network operational requirements and technological advancements. This paper presents a bottom-up strategy for designing computer networks through i) the formalization of network design core principles, ii) the derivation of a conceptual framework for network concerns and a structural model for network building elements inspired by natural complex systems, thus introducing the network cell which is the network elementary building block intrinsically capable of specialization, adaptation and evolution, and iii) finally, a cell-based network realization. Cell-based network adaptation capabilities are evaluated through simulations. Results show the awareness of HDP and TCP to path delays and the possibility of tweaking their operation accordingly.",1-Dec-09
5,Hoda Hassan,Towards a Framework for Evolvable Network Design,"The layered Internet architecture that had long guided network design and protocol engineering was an “interconnection architecture” defining a framework for interconnecting networks rather than a model for generic network structuring and engineering. We claim that the approach of abstracting the network in terms of an internetwork hinders the thorough understanding of the network salient characteristics and emergent behavior resulting in impeding design evolution required to address extreme scale, heterogeneity, and complexity. This paper reports on our work in progress that aims to: 1) Investigate the problem space in terms of the factors and decisions that influenced the design and development of computer networks; 2) Sketch the core principles for designing complex computer networks; and 3) Propose a model and related framework for building evolvable, adaptable and self organizing networks We will adopt a bottom up strategy primarily focusing on the building unit of the network model, which we call the “network cell”. The model is inspired by natural complex systems. A network cell is intrinsically capable of specialization, adaptation and evolution. Subsequently, we propose CellNet; a framework for evolvable network design. We outline scenarios for using the CellNet framework to enhance legacy Internet protocol stack.",1-Nov-09
6,Hoda Hassan,Towards a Federated Network Architecture,"The layered architecture that guided the design of the Internet is deemed inadequate as a reference model for engineering protocols for NGN. Layered protocol suites impose a strict sequential order on protocol execution conflicting with the efficient engineering of end systems, as well as failing to express vertical functional integration, the separation of control and data planes, and the distributed nature of network functions. Furthermore, protocols developed according to the layered architecture are implemented as monolithic blocks with undefined or implicit dependencies lacking flexibility to adapt to changing application requirements. We claim that NGN architecture design should be dual faceted along a vertical and a horizontal dimension. The vertical dimension addresses complexity at a network node by abstracting the communication functionality into several components and defining component interactions, while the horizontal dimension addresses the distributed nature of the network, abstracting network links into communication paths, and defining procedures for creating, maintaining, as well as exchanging data between different network components along these paths. We propose a preliminary network architecture based on component federation. We focus on the vertical decomposition of the communication functions and their interactions considering the distributed consequences of these interactions along the horizontal dimension of the network. ",1-Apr-08
7,Hoda Hassan,Securing the AODV Protocol Using Specification-Based Intrusion Detection,This paper presents an implementation of an Intrusion Detection System (IDS) aiming to secure the AODV protocol designed for MANET. The IDS is designed as multiple static agents that run on a subset of the nodes in the network and executes a monitoring protocol that observes the process of route establishment. The monitoring protocol uses specification based intrusion detection to identify misuses to the routing messages. The IDS design is a correlation of previous work done in the field of MANET security. The IDS is implemented using ns-2 simulator and its ability to detect attacks was tested using previously devised attack scripts. Detailed specification for the runtime behavior of the AODV protocol was derived in the process of implementation,1-Oct-06
8,Hoda Hassan,A Reference Model for Future Computer Networks,,The Eleventh International Conference on Network ICN 2012
9,Hoda Hassan,CORM: A Concern-Oriented Reference Model for Future Computer Network,,"Book Chapter, IGI Global (to be published 2012)"
10,Hoda Hassan,CORM: A Reference Model for Future Computer Networks,,"Journal of Network and Computer Applications, Elsevier (To be published 2012)."
0,Ioulia Rytikova,Invited Talk: Big Data Ecosystem,,19-May-16
1,Ioulia Rytikova,Presentation: Big Data in Healthcare - Challenges and Opportunities,,7-Jan-16
2,Ioulia Rytikova,Learning Is Fun! Wait … STEM Learning?,,18-Sep-15
3,Ioulia Rytikova,Presentation: Making It All Work,,5-Aug-15
4,Ioulia Rytikova,Presentation: Classroom Management in Active Learning Classrooms,,3-Jun-15
5,Ioulia Rytikova,Invited Talk: Is It All Just About Feedback?,,8-Apr-15
6,Ioulia Rytikova,A Methodology for Personalized Competency-based Learning in Undergraduate Courses,,15-Oct-14
7,Ioulia Rytikova,Invited Talk: Designing Active Learning Experience for Undergraduate Students,,30-Sep-14
8,Ioulia Rytikova,Invited Talk: Big Data in Higher Education - Developing a Student Profile,,10-Jan-14
9,Ioulia Rytikova,Presentation: Competency-based Modular Approach in AIT database courses,,1-Nov-13
0,Irina Hashmi,idDock+: Integrating Machine Learning in Probabilistic Search for Protein-Protein Docking.,,29-Jul-15
1,Irina Hashmi,Knowledge-based Search and Multi-objective Filters: Proposed Structural Models of GPCR Dimerization,Peer-reviewed conference paper.,1-Sep-14
2,Irina Hashmi,HopDock: A Probabilistic Search Algorithm for Decoy Sampling in Protein-protein Docking,,1-Nov-13
3,Irina Hashmi,Informatics-driven Protein-protein Docking,,1-Sep-13
4,Irina Hashmi,A Basin Hopping Algorithm for Protein-protein Docking,,1-Jan-12
5,Irina Hashmi,An Evolutionary Conservation Based Method for Refining and Reranking Protein Complex Structures,,1-Jan-12
6,Irina Hashmi,Basin Hopping as a General and versatile optimization framework for the characterization of biological macromolecules,,1-Jan-12
7,Irina Hashmi,Employing Geometric and Evolutionary Information for Protein Docking with Probabilistic Search,,1-Jan-12
8,Irina Hashmi,Guiding Protein Docking with Geometric and Evolutionary Information,,1-Jan-12
9,Irina Hashmi,Protein Docking with Information on Evolutionary Conserved Interfaces,,1-Jan-11
10,Irina Hashmi,Refinement of Docked Protein Complex Structures Using Evolutionary Traces,,1-Jan-11
11,Irina Hashmi,An Efficient Design of a Reversible Barrel Shifter,,1-Jan-10
0,Jianli Pan,Refer to Google Scholar Profile link below,,http://scholar.google.com/citations?user=l9QQeHgAAAAJ&hl=en
0,Massimiliano Albanese,Biometric multi-factor authentication: On the usability of the FingerPIN scheme,"Fingerprint-based authentication has been successfully adopted in a wide range of applications, including law enforcement and immigration, due to its numerous advantages over traditional password-based authentication. Despite the usability and accuracy of this technology, some significant concerns still exist, which can potentially hinder its further adoption. For instance, a fingerprint is permanently associated with an individual and, once stolen, cannot be replaced, thus compromising biometric-based authentication. To mitigate this concern, we previously designed a multi-factor authentication approach that integrates Type-1 and Type-3 authentication factors into a fingerprint-based personal identification number (PIN). To authenticate, a subject is required to present a sequence of fingerprints corresponding to the digits of the PIN, based on a predefined secret mapping between digits and fingers. We conducted a preliminary vulnerability analysis and demonstrated that this approach is robust to the compromise of one or more of the subject's fingerprints. The objective of the work presented in this paper is to identify any usability issues for this FingerPIN scheme, collect qualitative and quantitative data through a user study, and determine the participants' satisfaction with the authentication mechanism. We carried out systematic usability tests, designed suitable performance metrics for assessing authentication usability on an initial cohort of 100 individuals, and performed a comparative analysis of the FingerPIN scheme against traditional sequential multi-factor authentication schemes.",10-Nov-22
1,Massimiliano Albanese,Poster: Securing Distributed System Configuration through Optimization and Reasoning on Graphs,"Complex distributed systems are inherently difficult to secure due to the many interdependencies amongst their components, vulnerabilities, and configuration parameters. To address this problem, we present an approach for improving the security posture of distributed systems by examining the security impact of configuration changes across their interdependent components. We construct a graph-based model of the system and its vulnerabilities and use it to analyze the attack surface and the impact of attacks. We show how the model can be optimized using SMT solvers to derive configurations that minimize the impact of attacks while preserving system functionality.",24-Feb-19
2,Massimiliano Albanese,DeBot: A Novel Network-based Mechanism to Detect Exfiltration by Architectural Stealthy Botnets,"Malicious actors use networks of compromised and remotely controlled hosts, known as botnets, to execute different classes of cyberattacks, including exfiltration of sensitive data. Recently, we have observed a trend toward more resilient botnet architectures, departing from traditional centralized architectures and enabling botnets to evade detection and persist in a system indefinitely. Botnets can achieve resilience through architectural stealth, by establishing overlay networks that minimize exposure of malicious traffic to detectors. To address this problem, we propose a novel network‐based detection scheme, called DeBot, which identifies traffic flows associated with exfiltration attempts. The proposed solution intercepts traffic from different monitoring points and leverages differences in the network behavior of botnets and benign users to identify suspicious flows. To this aim, we first develop a mechanism to identify monitoring points that are likely to intercept a significant volume of malicious traffic. Then, we analyze flow characteristics to identify suspicious hosts and use periodogram analysis to identify malicious flows originating from those hosts. We evaluate the proposed approach against different botnets in the CyberVAN testbed and compare its performance against state‐of‐the‐art detection techniques. The results indicate that DeBot is effective in detecting botnet activity, thus enabling the identification and removal of bots.",5-Dec-18
3,Massimiliano Albanese,From Cyber Situational Awareness to Adaptive Cyber Defense: Leveling the Cyber Playing Field,"In the cyber security landscape, the asymmetric relationship between defender and attacker tends to favor the attacker: while the defender needs to protect a system against all possible ways of breaching it, the attacker needs to identify and exploit only one vulnerable entry point in order to succeed. In this chapter, we show how we can effectively reverse such intrinsic asymmetry in favor of the defender by concurrently pursuing two complementary objectives: increasing the defender’s understanding of multiple facets of the cyber landscape – referred to as Cyber Situational Awareness (CSA) – and creating uncertainty for the attacker through Moving Target Defense (MTD) or Adaptive Cyber Defense (ACD) techniques. This chapter provides a brief overview of contributions in these areas, and discusses future research directions.",30-Nov-18
4,Massimiliano Albanese,A Quantitative Framework to Model Advanced Persistent Threats,"In recent years, Advanced Persistent Threats (APTs) have emerged as increasingly sophisticated cyber attacks, often waged by state actors or other hostile organizations against high-profile targets. APT actors employ a diversified set of sophisticated tools and advanced capabilities to penetrate target systems, evade detection, and maintain a foothold within compromised systems for extended periods of time. Stealth and persistence enable APT actors to conduct long-term espionage and sabotage operations. Despite significant efforts to develop APT detection and mitigation capabilities, the stealthy nature of APTs poses significant challenges, and defending from such threats is still an open research problem. In particular, quantitative models to capture how APTs may create and maintain a foothold within a target system are lacking. To address this gap, we propose a quantitative framework to (i) assess the cost incurred by APT actors to compromise and persist within a target system; (ii) estimate the value they gain over time by persisting in the system; (iii) simulate how the footprint of an APT evolves over time when, to maintain stealth, attackers have constraints on the volume of potentially detectable activity they can engage in. We also propose a preliminary defender model, and results from the evaluation show that our approach is promising, thus encouraging further research in this direction. ",26-Jul-18
5,Massimiliano Albanese,Defending from Stealthy Botnets Using Moving Target Defenses,"In today’s IT landscape, organizations are increasingly exposed to an array of novel and sophisticated threats—including advanced persistent threats (APTs) and distributed denial-of-service (DDoS) attacks—which can bypass traditional defenses and persist in target systems indefinitely. Threat actors often rely on networks of compromised and remotely controlled hosts, known as botnets, to execute a number of different cyberattacks and engage in criminal or unauthorized activities. Protecting sensitive and mission-critical data from competitors, state actors, and organized crime has become increasingly critical for the well-being of many organizations. A promising approach to botnet detection and mitigation relies on moving target defense (MTD), a novel and game-changing approach to cyber defense. MTD creates asymmetric uncertainty, providing the defender with a tactical advantage over the attacker. MTD techniques are designed to continuously change or shift a system’s attack surface, thus increasing cost and complexity for the threat actors. We show how the botnet detection and mitigation problem can be decomposed in three related and relatively simpler challenges, and how these challenges can be effectively tackled adopting an MTD approach, ultimately limiting the ability of a botnet to persist within a target system.",6-Feb-18
6,Massimiliano Albanese,A Graphical Model to Assess the Impact of Multi-Step Attacks,"In the last several decades, networked systems have grown in complexity and sophistication, introducing complex interdependencies amongst their numerous and diverse components. Attackers can leverage such interdependencies to penetrate seemingly well-guarded networks through sophisticated multi-step attacks. Research has shown that explicit and implicit interdependencies exist at various layers of the hardware and software architecture. In particular, dependencies between vulnerabilities and dependencies between applications and services are critical for assessing the impact of multi-step attacks. These two classes of interdependencies have been traditionally studied using attack and dependency graphs respectively. Although significant work has been done in the area of both attack and dependency graphs, we demonstrate that neither of these models can provide an accurate assessment of an attack’s impact, when used in isolation. To address this limitation, we take a mission-centric approach and present a solution to integrate these two powerful models into a unified framework that enables us to accurately assess the impact of multi-step attacks and identify high-impact attack paths within a network. This analysis can ultimately generate effective hardening recommendations, and can be seen as one phase of a continuous process that iteratively cycles through impact analysis and vulnerability remediation stages.",1-Jan-18
7,Massimiliano Albanese,Performance Modeling of Moving Target Defenses,"In recent years, Moving Target Defense (MTD) has emerged as a potential game changer in the security landscape, due to its potential to create asymmetric uncertainty  that favors the defender. Many  different MTD techniques have then been proposed, each addressing an often very specific set of attack vectors. Despite the huge progress made in this area, there are still some critical gaps with respect to the analysis and quantification of the cost and benefits of deploying MTD techniques. In fact, common metrics to assess the performance of these techniques are still lacking and most of them tend to assess their performance in different and often incompatible ways. This paper addresses these gaps by proposing a quantitative analytic model for assessing the resource availability and performance of MTDs, and a method for the determination of the highest possible reconfiguration rate, and thus smallest probability of attacker's success, that meets performance and stability constraints. Finally, we present an experimental validation of the proposed approach.",30-Oct-17
8,Massimiliano Albanese,Detecting Stealthy Botnets in a Resource-Constrained Environment using Reinforcement Learning,"In recent years, Moving Target Defense (MTD) has emerged as a potential game changer in the security landscape, due to its potential to create asymmetric uncertainty that favors the defender. Many different MTD techniques have then been proposed, each addressing an often very specific set of attack vectors. Despite the huge progress made in this area, there are still some critical gaps with respect to the analysis and quantification of the cost and benefits of deploying MTD techniques. In fact, common metrics to assess the performance of these techniques are still lacking and most of them tend to assess their performance in different and often incompatible ways. This paper addresses these gaps by proposing a quantitative analytic model for assessing the resource availability and performance of MTDs, and a method for the determination of the highest possible reconfiguration rate, and thus smallest probability of attacker's success, that meets performance and stability constraints. Finally, we present an experimental validation of the proposed approach.",30-Oct-17
9,Massimiliano Albanese,An Integrated Framework for Cyber Situation Awareness,"In this chapter, we present a framework that integrates an array of techniques and automated tools designed with the objective of drastically enhancing the Cyber Situation Awareness process. This framework incorporates the theory and the tools we developed to answer – automatically and efficiently – some of the fundamental questions security analysts may need to ask in the context of Cyber Situation Awareness. Most of the work presented in this chapter is the result of the
research effort conducted by the authors as part of a the Multidisciplinary University Research Initiative project sponsored by the Army Research Office that was mentioned in the introductory chapter. We present the key challenges the research community has been called to address in this space, and describe our major accomplishments in tackling those challenges.",7-Jul-17
10,Massimiliano Albanese,Computer-Aided Human Centric Cyber Situation Awareness,"In this chapter, we provide an overview of Cyber Situational Awareness, an emerging research area in the broad field of cyber security, and discuss, at least at a high level, how to gain Cyber Situation Awareness. Our discussion focuses on answering the following questions: What is Cyber Situation
Awareness? Why is research needed? What are the current research objectives and inspiring scientific principles? Why should one take a multidisciplinary approach? How could one take an end-to-end holistic approach? What are the future research directions?",7-Jul-17
11,Massimiliano Albanese,A Framework for Moving Target Defense Quantification,"Moving Target Defense (MTD) has emerged as a game changer in the security landscape, as it can create asymmetric uncertainty favoring the defender. Despite the significant work done in this area and the many different techniques that have been proposed, MTD has not yet gained widespread adoption due to several limitations. Specifically, interactions between multiple techniques have not been studied yet and a unified framework for quantifying and comparing very diverse techniques is still lacking. To overcome these limitations, we propose a framework to model how different MTD techniques can affect the information an attacker needs to exploit a system’s vulnerabilities, so as to introduce uncertainty and reduce the likelihood of successful attacks. We illustrate how this framework can be used to compare two sets of MTDs, and to select an optimal set of MTDs that maximize security within a given budget. Experimental results show that our approach is effective.",4-May-17
