names,ProfileLinks,topics,citations,titles,delta
Craig G McDonald,https://scholar.google.com//citations?hl=en&user=akkzr1AAAAAJ,"Action Monitoring, Attention, Errors, EEG, Cognitive Control",2061,"Associate Professor, Psychology, George Mason University",#N/A
Padhu Seshaiyer,https://scholar.google.com//citations?hl=en&user=xiGRcDQAAAAJ,"Computational Mathematics, Finite Element Methods, Infectious Diseases, Mathematics Education",2045,George Mason University,#N/A
Jerome Short,https://scholar.google.com//citations?hl=en&user=ix-E0ZQAAAAJ,"Mental Health Promotion, Social Support, Substance Abuse Prevention",2041,"Associate Professor of Psychology, George Mason University",#N/A
Charlotte Gill,https://scholar.google.com//citations?hl=en&user=-l2EUHAAAAAJ,"community-based crime prevention, place-based criminology, policing, juvenile justice, program evaluation",2033,"Associate Professor of Criminology, Law and Society, George Mason University",#N/A
S. Dov Gordon,https://scholar.google.com//citations?hl=en&user=wS_5894AAAAJ,cryptography,2029,George Mason University,#N/A
Tojo Thatchenkery,https://scholar.google.com//citations?hl=en&user=olUOSycAAAAJ,"Appreciative Intelligence, Asian American diversity & inclusion, leadership, mindfulness, innovation",2023,"George Mason University, Schar School of Policy & Government",#N/A
Viviana Maggioni,https://scholar.google.com//citations?hl=en&user=wbMYv7YAAAAJ,"Precipitation, Hydrology, Remote Sensing, Uncertainty Analysis, Land Surface Modeling",2020,"Associate Professor of Water Resources and Environmental Engineering, George Mason …",#N/A
Mahesh P.  Joshi (Maheshkumar P. Joshi),https://scholar.google.com//citations?hl=en&user=mJPlxNQAAAAJ,"Strategy, Entrepreneurship, Innovation Mgmt, Operations Strategy",2015,"School of Business, George Mason U.",#N/A
Angela D. Miller,https://scholar.google.com//citations?hl=en&user=18-C4xgAAAAJ,"achievement motivation, quantitative research methods",2002,George Mason University,#N/A
Vadim Sokolov,https://scholar.google.com//citations?hl=en&user=A5HXf0IAAAAJ,"Particle Filtering, Deep Learning, Bayesian Optimization, Transportation Systems",1992,George Mason University,#N/A
Leah M. Adams,https://scholar.google.com//citations?hl=en&user=wAEIo6UAAAAJ,"Adjustment to chronic illness/injury, HIV/AIDS, Illness prevention, Health disparities, Well-being",1988,"Assistant Professor in Psychology | Women & Gender Studies, George Mason University",#N/A
Mahamadi Warma,https://scholar.google.com//citations?hl=en&user=Iaz9WC4AAAAJ,"Linear and Nonlinear elliptic equations, Evolution equations, Nonlocal Partial Differential Equations",1982,George Mason University,#N/A
P. Daniel Chen,https://scholar.google.com//citations?hl=en&user=soprOl8AAAAJ,"Higher Education Policy & Finance, College Student Success, STEM education, Institutional Effectiveness, Ethics & Spirituality i",1978,"Associate Professor of Higher Education, George Mason University",#N/A
Jatin Ambegaonkar,https://scholar.google.com//citations?hl=en&user=3-3YS7wAAAAJ,"Athletic Training, Dance Medicine, Sports Medicine, Kinesiology, Sports Sciences",1974,George Mason University,#N/A
Julia E. Painter,https://scholar.google.com//citations?hl=en&user=ZiG5VQwAAAAJ,"vaccines, health behavior, health behavior theory, adolescent health, infectious diseases",1973,George Mason University,#N/A
Mark Koyama,https://scholar.google.com//citations?hl=en&user=sgvcMpYAAAAJ,"Economic History, Political Economy, New Institutional Economics",1963,George Mason University,#N/A
Keith B. Ward,https://scholar.google.com//citations?hl=en&user=I6uoyCcAAAAJ,Chemical and Biological Defense,1963,George Mason Univeristy,#N/A
Mark D Schroeder,https://scholar.google.com//citations?hl=en&user=j8iJDoUAAAAJ,"Developmental Biology, Computational Biology, Evolution",1961,"Adjunct Professor, George Mason University",#N/A
Wei Sun,https://scholar.google.com//citations?hl=en&user=AIwLdyMAAAAJ,"artificial intelligence, Bayesian networks, probabilistic inference, simulation",1949,"Center of Excellence in C4I, George Mason University",#N/A
MR Hieb,https://scholar.google.com//citations?hl=en&user=dWAqWsMAAAAJ,"Command and Control, Simulation",1946,"Associate Professor, C4I Center, George Mason University",#N/A
Margaret Slavin,https://scholar.google.com//citations?hl=en&user=H6OIUAIAAAAJ,"nutrition, food science, migraine",1927,"Associate Professor, George Mason University",#N/A
Anna Z. Pollack,https://scholar.google.com//citations?hl=en&user=2FpAnsMAAAAJ,"Environmental Epidemiology, Endocrine Disruptors, Women's Health, Reproductive Epidemiology",1919,George Mason University,#N/A
Jacek Radzikowski,https://scholar.google.com//citations?hl=en&user=TIJnl3kAAAAJ,"fpga, parallel computing, geospatial anlysis, twitter, social media",1893,George Mason University,#N/A
Jason Kinser,https://scholar.google.com//citations?hl=en&user=UYWikDUAAAAJ,Image analysis,1876,George Mason University,#N/A
Timothy F Leslie,https://scholar.google.com//citations?hl=en&user=AdQVvm8AAAAJ,"Spatial Statistics, Urban Economics, Health Disparities",1863,"Geography and Geoinformation Science, George Mason University",#N/A
Kevin Moran,https://scholar.google.com//citations?hl=en&user=CllWHUcAAAAJ,"Software Engineering, Mobile, Machine Learning, Software Testing",1861,"Assistant Professor, George Mason University",#N/A
Igor Griva,https://scholar.google.com//citations?hl=en&user=pPWxavMAAAAJ,"Mathematical Modeling, Nonlinear Optimization, Machine Learning",1848,George Mason University,#N/A
Carolina Salvador Morales,https://scholar.google.com//citations?hl=en&user=KlUFRRYAAAAJ,"Nanotechnology, Drug Delivery",1838,George Mason University,#N/A
Stephen E. Christophe,https://scholar.google.com//citations?hl=en&user=Z7D8C7oAAAAJ,Finance,1835,"Professor of Finance, George Mason University",#N/A
Robyn Mehlenbeck,https://scholar.google.com//citations?hl=en&user=9HsQFBwAAAAJ,"adolescent, medical issues, family systems",1812,"Clinical Associate Professor of Psychology, George Mason University",#N/A
Sarah Perez-Kriz,https://scholar.google.com//citations?hl=en&user=TbSW4esAAAAJ,"Diagrammatic Reasoning, Spatial Cognition, Psycholinguistics",1810,The MITRE Corporation/George Mason University,#N/A
John Shortle,https://scholar.google.com//citations?hl=en&user=Ilu__agAAAAJ,,1795,George Mason University,#N/A
Haagen Klaus,https://scholar.google.com//citations?hl=en&user=BS6oYaYAAAAJ,"Bioarchaeology, human biology & disease, Andean archaeology",1781,George Mason University,#N/A
David Haines,https://scholar.google.com//citations?hl=en&user=IAJ-KKIAAAAJ,"Migration, Asia, Vietnam",1773,George Mason University,#N/A
Thomas Wanner,https://scholar.google.com//citations?hl=en&user=pR3J_RwAAAAJ,"Differential Equations, Computational Topology, Stochastic Dynamics",1772,George Mason University,#N/A
"Rachael D. Goodman, Ph.D., LPC",https://scholar.google.com//citations?hl=en&user=71l_tTwAAAAJ,"Social justice, trauma counseling, mindfulness, community-based participatory research",1757,Counseling & Development; George Mason University,#N/A
Jie Xu,https://scholar.google.com//citations?hl=en&user=RGpMVzQAAAAJ,"digital twin simulation, machine learning, power systems, manufacturing, cloud computing",1728,"Associate Professor of Systems Engineering and Operations Research, George Mason …",#N/A
Johanna Bockman,https://scholar.google.com//citations?hl=en&user=3erCbfYAAAAJ,"Globalization, neoliberalism, socialism, Eastern Europe, Washington DC",1726,"Associate Professor of Sociology and Global Affairs, George Mason University",#N/A
Changwoo Ahn,https://scholar.google.com//citations?hl=en&user=4PUymEAAAAAJ,"wetland ecosystem ecology, ecological engineering, ecosystem restoration, art+science",1721,"Professor, George Mason University",#N/A
Karl J. Fryxell,https://scholar.google.com//citations?hl=en&user=-mvIRdMAAAAJ,"neuroscience, molecular evolution",1693,"Associate Professor of Systems Biology, George Mason University",#N/A
Hemant Purohit,https://scholar.google.com//citations?hl=en&user=uGNw0SQAAAAJ,"Social Computing, Semantic Computing, Crisis Informatics, Web Intelligence, Human-AI Collaboration",1686,"Associate Professor, Information Sciences & Technology, George Mason University",#N/A
Maksim Tsvetovat,https://scholar.google.com//citations?hl=en&user=sAnfbL8AAAAJ,"Social network analysis, agent-based modeling, social complexity, social media",1663,George Mason University,#N/A
Xiang 'Shawn' Chen,https://scholar.google.com//citations?hl=en&user=QEdR90AAAAAJ,"Mobile System, Distributed Computing, Large-Scale Computing, Deep Learning, Display and Interaction",1661,George Mason University,#N/A
Kenneth S. Ball,https://scholar.google.com//citations?hl=en&user=0ECeW28AAAAJ,,1652,"Dean, Volgenau School of Engineering, George Mason University",#N/A
Robert Pasnak,https://scholar.google.com//citations?hl=en&user=nKF4VM8AAAAJ,cognitive development,1648,George Mason University,#N/A
ELISA BALDELLI,https://scholar.google.com//citations?hl=en&user=xLqDwPMAAAAJ,Tumor biology,1643,"Research affiliate, George Mason University",#N/A
Richard Rubenstein,https://scholar.google.com//citations?hl=en&user=iws_gOkAAAAJ,"Conflict Resolution, Peace Studies",1642,"University Professor, George Mason University",#N/A
Rebecca E. Forkner,https://scholar.google.com//citations?hl=en&user=Qli8E4MAAAAJ,,1640,George Mason University,#N/A
Eduardo López,https://scholar.google.com//citations?hl=en&user=xwdJNuMAAAAJ,"Complex Networks, Percolation, Data Analysis",1637,George Mason University,#N/A
Brett Froelich Ph.D,https://scholar.google.com//citations?hl=en&user=5IjZfl4AAAAJ,"Vibrio vulnificus, microbiology, ecology, oysters, shellfish",1632,George Mason University,#N/A
Karina Korostelina,https://scholar.google.com//citations?hl=en&user=dHOtPnYAAAAJ,"conflict analysis and resolution, social identity, history",1631,"Professor, George Mason University",#N/A
Dominique Banville,https://scholar.google.com//citations?hl=en&user=_PChvsIAAAAJ,Curriculum & Instruction in Physical Education,1630,George Mason University,#N/A
Anya Evmenova,https://scholar.google.com//citations?hl=en&user=qulIaG4AAAAJ,"Special Education, Assistive and Instructional Technology, UDL",1628,"Professor, George Mason University",#N/A
Fernando Camelli,https://scholar.google.com//citations?hl=en&user=m99w75oAAAAJ,"Computational Fluid Dynamics, High Performance Computing, Turbulence, Environmental Flows, Renewable Energies",1627,"Associate Professor, Department of Physics and Astronomy, Center for CFD, George Mason …",#N/A
Chrystal A. George Mwangi,https://scholar.google.com//citations?hl=en&user=yVYTyEwAAAAJ,"Higher Education, … Experiences of African and African Diaspora …, College Access and Success",1613,"Associate Professor of Higher Education, George Mason University",#N/A
Celso M Ferreira,https://scholar.google.com//citations?hl=en&user=v6f8mFEAAAAJ,"Coastal flooding, Urban hydrology, Storm surge",1611,"Associate Professor, George Mason University",#N/A
Johanna Mollerstrom,https://scholar.google.com//citations?hl=en&user=pQe5nTkAAAAJ,"Behavioral Economics, Experimental Economics, Public Economics, Gender Economics",1611,"Associate Professor of Economics, George Mason University",#N/A
Diego Valderrama,https://scholar.google.com//citations?hl=en&user=Uf6YWQkAAAAJ,"Marine Resource Economics, Environmental and Natural Resource …, Marine Conservation",1597,"Assistant Professor, Department of Environmental Science and Policy, George Mason …",#N/A
Lauren Kuykendall,https://scholar.google.com//citations?hl=en&user=w1u2dLoAAAAJ,,1597,George Mason University,#N/A
Lily Wang,https://scholar.google.com//citations?hl=en&user=fmsRm20AAAAJ,"Dependent and Complex-structured Data …, Statistical Machine Learning, High Dimensional Data, Survey Sampling",1594,George Mason University,#N/A
Justin Gest,https://scholar.google.com//citations?hl=en&user=cUm1lVUAAAAJ,"immigration, demographic change, minority politics",1592,George Mason University,#N/A
Robert Ehrlich,https://scholar.google.com//citations?hl=en&user=6npksKQAAAAJ,particle physics,1590,George Mason University,#N/A
suhung shen,https://scholar.google.com//citations?hl=en&user=VsYUGcYAAAAJ,"remote sensing, climate variation, data management, data quality, knowledge base",1587,"Professor, George Mason University",#N/A
Olivia A. O'Neill,https://scholar.google.com//citations?hl=en&user=1x_W3w0AAAAJ,"Organizational Culture, Emotions, Gender",1585,"Associate Professor of Management, George Mason University",#N/A
Michael Wolf-Branigin,https://scholar.google.com//citations?hl=en&user=NacLdJIAAAAJ,"Complex adaptive systems, Complexity theory, Intellectual & Developmenal Disabilities, Substance Abuse, Spatial Analysis",1583,"Department of Social Work, George Mason University",#N/A
Mehdi Amiri,https://scholar.google.com//citations?hl=en&user=R41JOY0AAAAJ,"Mechanics of Materials, Corrosion, Fatigue",1577,"Assistant Professor, George Mason University",#N/A
Flavia Colonna,https://scholar.google.com//citations?hl=en&user=brPVwf4AAAAJ,"Complex analysis, operator theory, potential theory, harmonic analysis, signal processing",1539,"Professor of Mathematics, George Mason University",#N/A
Olga Kornienko,https://scholar.google.com//citations?hl=en&user=Kx1l_I4AAAAJ,"Adolescent development, social networks, social neuroendocrinology",1535,"Assistant Professor, George Mason University",#N/A
Debra R. Sprague,https://scholar.google.com//citations?hl=en&user=jLvQeBsAAAAJ,"technology infusion, teacher education",1534,"Associate Professor, George Mason Univeristy",#N/A
Constance Gewa,https://scholar.google.com//citations?hl=en&user=ChKtR6MAAAAJ,"Dietary practices in low income communities, dietary assessment methodology",1532,George Mason University,#N/A
Daniel H. Temple,https://scholar.google.com//citations?hl=en&user=zIVNqLUAAAAJ,"bioarchaeology, life history, skeletal and dental biology, hunter-gatherers, resilience",1525,George Mason University,#N/A
Cheryl Druehl,https://scholar.google.com//citations?hl=en&user=tazOovIAAAAJ,,1518,George Mason University,#N/A
Scott Glaberman,https://scholar.google.com//citations?hl=en&user=UO613zAAAAAJ,"Evolutionary Biology, Ecotoxicology, Herpetology",1515,George Mason University,#N/A
Vasiliki Ikonomidou,https://scholar.google.com//citations?hl=en&user=JBGXmQUAAAAJ,,1514,George Mason University,#N/A
Valeriu Soltan,https://scholar.google.com//citations?hl=en&user=rPsprVgAAAAJ,Convex and Discrete Geometry,1502,George Mason University,#N/A
Donald J. Boudreaux,https://scholar.google.com//citations?hl=en&user=gEsbWZwAAAAJ,"Trade, Antitrust, Economic Education",1494,"Professor of Economics, George Mason University",#N/A
John Robert Cressman,https://scholar.google.com//citations?hl=en&user=5PAPEZoAAAAJ,Non-equilibrium physics and the Brain,1484,George Mason University,#N/A
Sita Nataraj Slavov,https://scholar.google.com//citations?hl=en&user=ja1g3bEAAAAJ,"Public Finance, Economics of Aging, Political Economy, Taxation",1479,George Mason University,#N/A
Weiwen Jiang,https://scholar.google.com//citations?hl=en&user=62oDIG4AAAAJ,"Quantum Machine Learning, HW/SW Co-Design, Embedded Systems, Neural Networks, FPGA",1474,George Mason University,#N/A
L. Earle Reybold,https://scholar.google.com//citations?hl=en&user=0y8yCdAAAAAJ,"Faculty identity, professional epistemology, ethics, qualitative research, faculty disability",1472,"Professor, George Mason University",#N/A
Garett Jones,https://scholar.google.com//citations?hl=en&user=xXXJZ-MAAAAJ,"Macroeconomics, Human Capital, Public Choice, Monetary Policy",1470,"Associate Professor of Economics, George Mason University",#N/A
Yun Yu,https://scholar.google.com//citations?hl=en&user=S6TIq8oAAAAJ,,1469,"Assistant Professor of Analytical & Materials Chemistry, George Mason University",#N/A
Shanjiang Zhu,https://scholar.google.com//citations?hl=en&user=U7LGKH0AAAAJ,"Transportation Planning, Traffic Engineering, Economics",1467,"Associate Professor at Civil, Environmental, and Infrastructure Engineering, George Mason …",13
Elizabeth Phillips,https://scholar.google.com//citations?hl=en&user=NGr6f94AAAAJ,Psychology/Human Factors,1464,George Mason University,#N/A
Maureen Schepis,https://scholar.google.com//citations?hl=en&user=ZdLuGCMAAAAJ,"developmental disabilities, augmentative communication, staff management",1464,George Mason University,#N/A
Grace L. Francis,https://scholar.google.com//citations?hl=en&user=lZkXzyIAAAAJ,"special education, disability, family-professional partnerships, transition",1464,George Mason University,#N/A
Farhang Alem,https://scholar.google.com//citations?hl=en&user=ghB8Ln4AAAAJ,"Molecular Biology, Infectious Diseases",1464,George Mason University,#N/A
MJ Kolze,https://scholar.google.com//citations?hl=en&user=n1ExlUoAAAAJ,"leadership, leader development, well-being, cross-cultural",1464,George Mason University,#N/A
Saurabh Mishra,https://scholar.google.com//citations?hl=en&user=G7QrUzIAAAAJ,"Marketing Strategy, Marketing-Operations Management Interface, Corporate Social Responsibility, Branding, Shareholder Value",1463,"Professor of Marketing and Dean's Scholar, School of Business, George Mason University",#N/A
Heather Vough,https://scholar.google.com//citations?hl=en&user=Xmh1sE4aUPQC,,1458,George Mason University,#N/A
Ming Wan,https://scholar.google.com//citations?hl=en&user=y6WpP7sAAAAJ,political science,1457,Professor George Mason University,#N/A
John Marvel,https://scholar.google.com//citations?hl=en&user=8CUxPicAAAAJ,"public management, work motivation, experimental methods",1455,George Mason University,#N/A
Kelley Regan,https://scholar.google.com//citations?hl=en&user=j_yMLFAAAAAJ,"teacher preparation, evidence-based practices to support student …",1451,George Mason University,#N/A
Daniel J. Nicholson,https://scholar.google.com//citations?hl=en&user=5gxpRPYAAAAJ,"Philosophy of Biology, Philosophy of Science, History of Biology, History and Philosophy of Science",1447,"Assistant Professor of Philosophy, George Mason University",#N/A
Nathalia Peixoto,https://scholar.google.com//citations?hl=en&user=JMTPOnQAAAAJ,"neural engineering, implantable electrodes, bioelectronic interfaces, assistive technology, engineering teaching",1428,"Electrical and Computer Engineering, George Mason University",14
Predrag Nikolic,https://scholar.google.com//citations?hl=en&user=WIjUzzwAAAAJ,condensed matter theory,1423,"Associate Proffesor of Physics, George Mason University",#N/A
Kelly Carney,https://scholar.google.com//citations?hl=en&user=nCrov7UAAAAJ,,1419,"Affiliate Professor, George Mason University",#N/A
Andrea Weeks,https://scholar.google.com//citations?hl=en&user=5NBcq3kAAAAJ,"Plant systematics, phylogeography, herbaria, natural history collections, education and conservation",1418,George Mason University,#N/A
Bo Hu,https://scholar.google.com//citations?hl=en&user=hPq2-JkAAAAJ,"Asset Pricing, Market Microstructure, Machine Learning",1411,George Mason University,#N/A
JoAnn S. Lee,https://scholar.google.com//citations?hl=en&user=XJn8K50AAAAJ,"transitions to adulthood, juvenile justice, child welfare, youth aging out of foster care, agent based modeling",1409,George Mason University,#N/A
Patrick A. McLaughlin,https://scholar.google.com//citations?hl=en&user=nurfl6oAAAAJ,,1408,Mercatus Center at George Mason University,#N/A
Steven Eagle,https://scholar.google.com//citations?hl=en&user=dfQgfEoAAAAJ,,1399,Antonin Scalia Law School at George Mason University,#N/A
Edward J. Oughton,https://scholar.google.com//citations?hl=en&user=ZsyYn4cAAAAJ,"Technology, Infrastructure, Risk Analysis, Geospatial Engineering",1399,George Mason University,#N/A
John Schreifels,https://scholar.google.com//citations?hl=en&user=BoQrgw8AAAAJ,"Surface Chemistry, XPS, AES, ENose",1398,George Mason U,#N/A
Yotam Gingold,https://scholar.google.com//citations?hl=en&user=lFh34ncAAAAJ,"Computer Graphics, Geometric Modeling, Human-Computer Interaction, Color, Creative Tools",1388,George Mason University,#N/A
Samuel S. Monfort,https://scholar.google.com//citations?hl=en&user=xlx-IF4AAAAJ,"Human Factors, Automation, Stress, Statistics, Data Visualization",1376,"Human Factors & Applied Cognition Doctoral Student, George Mason University",#N/A
Laura Balmaceda,https://scholar.google.com//citations?hl=en&user=dpG_ROcAAAAJ,"astrophysics, solar physics",1363,George Mason University,#N/A
Lisa L. Lindley,https://scholar.google.com//citations?hl=en&user=43uqjKcAAAAJ,"sexual health promotion, HIV/STI and unintended pregnancy …, LGBTQ health",1360,George Mason University,#N/A
Foteini Baldimtsi,https://scholar.google.com//citations?hl=en&user=Wrx-9LUAAAAJ,"Cryptography, Security, Privacy, Blockchain",1359,"Assistant Professor, George Mason University",#N/A
Jennifer M. Suh,https://scholar.google.com//citations?hl=en&user=9Vz6eyYAAAAJ,Mathematics education,1359,George Mason University,#N/A
Sam Steen,https://scholar.google.com//citations?hl=en&user=vQYoP74AAAAJ,"group counseling, children and adolescents, school counseling, race",1348,George Mason,#N/A
Lisa L Lindley,https://scholar.google.com//citations?hl=en&user=evtlEB4AAAAJ,"HIV/STI and unintended pregnancy …, LGBTQ health",1334,George Mason University,#N/A
Edward Huang,https://scholar.google.com//citations?hl=en&user=siFVeP0AAAAJ,,1329,George Mason University,#N/A
Boris Veytsman,https://scholar.google.com//citations?hl=en&user=uww5OsEAAAAJ,"Polymers, Biology, Statistical Physics, Hydrogen Bonds, Typesetting",1328,"Affiliate Professor, George Mason University",#N/A
R. Christian Jones,https://scholar.google.com//citations?hl=en&user=R_gUdyAAAAAJ,"Ecology, Water Quality, Aquatic",1321,"Professor, George Mason University",#N/A
Solon Simmons,https://scholar.google.com//citations?hl=en&user=Vte1rDQAAAAJ,"Narrative, Conflict Resolution, Peace",1319,George Mason University,#N/A
Yi-Ching Lee,https://scholar.google.com//citations?hl=en&user=SpiiI5cAAAAJ,"Attention, modeling, autonomous vehicle, automated driving systems, emerging technology",1316,"Associate Professor, George Mason University",#N/A
Remi Veneziano,https://scholar.google.com//citations?hl=en&user=d2gb5vkAAAAJ,"Biophysics, Biochemistry, molecular biology, DNA nanotechnology, membrane biology",1314,"Assistant Professor, Department of Bioengineering, George Mason University",#N/A
Jane Flinn,https://scholar.google.com//citations?hl=en&user=u2j_B8gAAAAJ,"Alzheimer's disease, learning and memory, mice. traumatic brain injury. metals, zinc, environmental effects. (TBI))",1313,George Mason University,#N/A
Jo-Marie Burt,https://scholar.google.com//citations?hl=en&user=XSN7s7gAAAAJ,"comparative politics, Latin America, political violence, human rights, transitional justice",1313,George Mason University,#N/A
Brittany I. Johnson,https://scholar.google.com//citations?hl=en&user=Ajhb1FYAAAAJ,"Human Factors, Software Engineering, Machine Learning",1299,Assistant Professor at George Mason University,#N/A
Andre Z. Clayborne,https://scholar.google.com//citations?hl=en&user=Mm_HC_kAAAAJ,"Computational Chemistry, Nanoscience, Catalysis",1285,George Mason University,#N/A
Sai Manoj PD,https://scholar.google.com//citations?hl=en&user=C3SVc70AAAAJ,"Hardware security, Machine learning on FPGA/ASIC, Cyber-Physical Systems, Embedded Systems, Low-power IC design",1285,George Mason University,#N/A
Janusz Wojtusiak,https://scholar.google.com//citations?hl=en&user=FeOYQoIAAAAJ,"Artificial Intelligence, Health Informatics, Machine Learning",1270,"Professor of Health Informatics, George Mason University",#N/A
Terry Clower,https://scholar.google.com//citations?hl=en&user=LSepDgwAAAAJ,"economic development, transportation, land use",1269,"Northern Virginia Chair, Professor of Public Policy, George Mason University",#N/A
Dongqing Wang,https://scholar.google.com//citations?hl=en&user=Ub7wz40AAAAJ,"Epidemiology, Nutrition, Maternal and Child Health, Adolescent Health, Global Health",1265,George Mason University,#N/A
Walter E. Williams,https://scholar.google.com//citations?hl=en&user=E_Catt4AAAAJ,"labor markets, discrimination",1261,"Professor of Economics, George Mason University",#N/A
Charles R. Twardy,https://scholar.google.com//citations?hl=en&user=pJwpqzcAAAAJ,"Epistemology, AI/ML, Bayesian Networks, Causality, JDM",1256,"Senior Data Scientist, Jacobs; (Affiliate Faculty, George Mason)",#N/A
Jennifer R. Warren,https://scholar.google.com//citations?hl=en&user=KDxiWY8AAAAJ,"Communication and Identities, Health Disparities, Heath Inequities, Chronic Disease, Community Health",1256,George Mason University,#N/A
Vivian Genaro Motti,https://scholar.google.com//citations?hl=en&user=MHEqjDYAAAAJ,"Human-Computer Interaction, Ubiquitous Computing, Wearable Computing, Healthcare IT",1254,"Assistant Professor, George Mason University",#N/A
Scott D. Eldridge,https://scholar.google.com//citations?hl=en&user=SPRpHcEAAAAJ,"Privacy, Agent-Based Modeling, Computational Social Science, Social Norms, Tech Policy",1252,"PhD Student, Computational Social Science, George Mason Univ.",#N/A
Michael Eagle,https://scholar.google.com//citations?hl=en&user=UPVSnPIAAAAJ,"Data Science, Artificial Intelligence, Learning Engineering, Learning Analytics, Serious Games",1250,George Mason University,#N/A
Natalie Jacqueline Burls,https://scholar.google.com//citations?hl=en&user=02GKaoUAAAAJ,,1245,George Mason University,#N/A
Maren Strenziok,https://scholar.google.com//citations?hl=en&user=Smu7Y_4AAAAJ,"cognitive neuroscience, social neuroscience, aggression, development, aging",1239,"Postdoctoral Researcher, Psychology, George Mason University",#N/A
Trevor Thrall,https://scholar.google.com//citations?hl=en&user=_Lv8iBMAAAAJ,"international security, war, media, political communication, public opinion",1227,"Associate Professor of Government and Politics, George Mason University",#N/A
Daniel Hanley,https://scholar.google.com//citations?hl=en&user=uOEiBiIAAAAJ,"Animal Behavior, Behavioral Ecology, Color Perception, Evolution, Ornithology",1227,George Mason University,#N/A
Yun Li,https://scholar.google.com//citations?hl=en&user=qFLHrXwAAAAJ,"spatiotemporal computation and data mining, data discovery",1220,George Mason University,#N/A
Zafer Boybeyi,https://scholar.google.com//citations?hl=en&user=5g_oYj0AAAAJ,"Numerical weather prediction, hazard prediction, atmospheric dynamics and physics",1207,"Associate Professor of Atmospheric Science, George Mason University",#N/A
Geraldine Grant,https://scholar.google.com//citations?hl=en&user=5IY7x8UAAAAJ,"Fibrosis, IPF, Model systems, 3D culture",1203,"GMU  Chair, Dept. Biology",#N/A
Alan Abramson,https://scholar.google.com//citations?hl=en&user=bzzSx2UAAAAJ,"nonprofit organizations, philanthropy, federal budgeting",1188,George Mason University,#N/A
Allison Ward Parsons,https://scholar.google.com//citations?hl=en&user=BBdUNzsAAAAJ,"Vocabulary Development, Literacy Coaching, Teacher Professional Development, Motivation and Engagement",1184,George Mason University,#N/A
Ali Beheshti,https://scholar.google.com//citations?hl=en&user=59hB3jwAAAAJ,"Tribology, High Temperature Materials, Surface Engineering, Nanoindentation/Scratch, Additive Manufacturing",1175,"Assistant Professor, George Mason University",#N/A
Ganga P Purja Pun,https://scholar.google.com//citations?hl=en&user=uZv71p0AAAAJ,Computational Physics,1160,George Mason University,#N/A
Bob Sachs,https://scholar.google.com//citations?hl=en&user=uZo15ScAAAAJ,"Nonlinear PDEs, Hamiltonian systems, undergraduate education",1160,"Professor of Mathematics, George Mason University",#N/A
Shahron Williams van Rooij,https://scholar.google.com//citations?hl=en&user=IyyPhZkAAAAJ,"open source, distance learning, instructional design, project management, workplace learning",1158,George Mason University,#N/A
Brittany L Sutherland,https://scholar.google.com//citations?hl=en&user=A4xRRB4AAAAJ,"Polyploidy, Evolutionary Biology, Botany",1156,"Assistant Professor, George Mason University",#N/A
Hao Jing,https://scholar.google.com//citations?hl=en&user=T7lMSFsAAAAJ,"plasmonic nanostructures, upconversion nanoparticles, photocatalysis, SERS, plasmonic coupling",1156,"Assistant Professor of Chemistry, George Mason University",#N/A
Fei Li,https://scholar.google.com//citations?hl=en&user=ql6BXwcAAAAJ,"Algorithms, Scheduling",1140,"Associate Professor of Computer Science, George Mason University",#N/A
Timothy A. Gibson,https://scholar.google.com//citations?hl=en&user=C9P2TSQAAAAJ,"Media, communication, urban studies",1138,"Department of Communication, George Mason University",#N/A
Elizabeth W Freeman,https://scholar.google.com//citations?hl=en&user=pQZ9kUvhsUEC,Conservation Biology,1128,George Mason University,#N/A
Jeffrey L. Moran,https://scholar.google.com//citations?hl=en&user=bSPLG-0AAAAJ,"active colloids, fluid mechanics, electrokinetics, electroporation, transport phenomena",1125,George Mason University,#N/A
Meixia Deng,https://scholar.google.com//citations?hl=en&user=KyoC_QwAAAAJ,"geospatial information science and …, data and computational science, remote sensing, GIS standard, information techno",1125,George Mason University,#N/A
Rosemarie Zagarri,https://scholar.google.com//citations?hl=en&user=whh3ZpAAAAAJ,Early American History,1124,"University Professor and Professor of History, George Mason University",#N/A
Khaled N. Khasawneh,https://scholar.google.com//citations?hl=en&user=GEZeHMEAAAAJ,"Hardware support for security, malware detection, adversarial machine learning, side channel, covert channel",1124,"Assistant Professor, George Mason University",#N/A
Tyrus Berry,https://scholar.google.com//citations?hl=en&user=Csl4Wi8AAAAJ,"Dynamical systems, geometry of data, uncertainty quantification, harmonic analysis",1123,George Mason University,#N/A
Elisa M. Torres,https://scholar.google.com//citations?hl=en&user=CaGAO10AAAAJ,"Leadership, climate, team dynamics, multiteam systems, emergent states",1121,George Mason University,#N/A
Mihai Boicu,https://scholar.google.com//citations?hl=en&user=SusWLtsAAAAJ,"Artifiicial Intelligence, Intelligence Analysis, Education",1120,George Mason University,#N/A
Peter J. Balint,https://scholar.google.com//citations?hl=en&user=Psm4BdwAAAAJ,environmental policy,1110,George Mason University,#N/A
Maryam Heidari,https://scholar.google.com//citations?hl=en&user=LwsLfbsAAAAJ,"Natural language processing, Machine Learning, Deep Learning, Social Computing",1105,George Mason University,#N/A
